Title,Start_Page,Content
4.7 Flags,212,"4.7 Flags 181 else numCoupons = 3; cout << ""The number of coupons to give is "" << numCoupons << endl; If the customer purchases this many books This many coupons are given. 1 3 4 5 10 4.7 Flags CONCEPT: A flag is a Boolean or integer variable that signals when a condition exists. A flag is typically a bool variable that signals when some condition exists in the program. When the flag variable is set to false , it indicates that the condition does not exist. When the flag variable is set to true , it means the condition does exist. For example, suppose a program that calculates sales commissions has a bool variable, defined and initialized as shown here: bool salesQuotaMet = false; In the program, the salesQuotaMet variable is used as a flag to indicate whether a sales- person has met the sales quota. When we define the variable, we initialize it with false because we do not yet know if the salesperson has met the sales quota. Assuming a variable named sales holds the amount of sales..."
4.8 Logical Operators,213,"Logical Operators CONCEPT: Logical operators connect two or more relational expressions into one or reverse the logic of an expression. In the previous section you saw how a program tests two conditions with two if statements. In this section you will see how to use logical operators to combine two or more relational expressions into one. Table 4-6 lists C++’s logical operators. Table 4-6 Operator Meaning Effect && AND Connects two expressions into one. Both expressions must be true for the overall expression to be true. || OR Connects two expressions into one. One or both expressions must be true for the overall expression to be true. It is only necessary for one to be true, and it does not matter which. ! NOT The ! operator reverses the ""truth"" of an expression. It makes a true expression false, and a false expression true. The && Operator The && operator is known as the logical AND operator. It takes two expressions as oper- ands and creates an expression that is true only when b..."
4.9 Checking Numeric Ranges with Logical Operators,220,"4.9 Checking Numeric Ranges with Logical Operators 189 The logical operators have left-to-right associativity. In the following expression, a < b is evaluated before y == z. a < b || y == z In the following expression, y == z is evaluated first, however, because the && operator has higher precedence than ||. a < b || y == z && m > j The expression is equivalent to (a < b) || ((y == z) && (m > j)) 4.9 Checking Numeric Ranges with Logical Operators CONCEPT: Logical operators are effective for determining whether a number is in or out of a range. When determining whether a number is inside a numeric range, it’s best to use the && opera- tor. For example, the following if statement checks the value in x to determine whether it is in the range of 20 through 40: if (x >= 20 && x <= 40) cout << x << "" is in the acceptable range.\n""; The expression in the if statement will be true only when x is both greater than or equal to 20 AND less than or equal to 40. x must be within the range of 20 ..."
4.10 Menus,221,"4.10 Menus CONCEPT: You can use nested if/else statements or the if/else if statement to create menu-driven programs. A menu-driven program allows the user to determine the course of action by selecting it from a list of actions. A menu is a screen displaying a set of choices the user selects from. For example, a program that manages a mailing list might give you the following menu: 1. Add a name to the list. 2. Remove a name from the list. 3. Change a name in the list. 4. Print the list. 5. Quit the program. The user selects one of the operations by entering its number. Entering 4, for example, causes the mailing list to be printed, and entering 5 causes the program to end. Nested if/else statements or an if/else if structure can be used to set up such a menu. After the user enters a number, the program compares the number with the available selections and executes the statements that perform that operation. Program 4-18 calculates the charges for membership in a health club. The c..."
4.11 Focus on Software Engineering: Validating User Input,224,"4.11 Focus on Software Engineering: Validating User Input 193 • Otherwise, if the user selected 2 from the menu (child membership), the statements in lines 47–50 are executed. • Otherwise, if the user selected 3 from the menu (senior citizen membership), the statements in lines 54–57 are executed. • Otherwise, if the user selected 4 from the menu (quit the program), the statement in line 61 is executed. • If the user entered any choice other than 1, 2, 3, or 4, the else clause in lines 63–67 executes, displaying an error message. 4.11 Focus on Software Engineering: Validating User Input CONCEPT: As long as the user of a program enters bad input, the program will produce bad output. Programs should be written to filter out bad input. Perhaps the most famous saying of the computer world is “Garbage in, garbage out.” The integrity of a program’s output is only as good as its input, so you should try to make sure garbage does not go into your programs. Input validation is the process of..."
4.12 Comparing Characters and Strings,226,"4.12 Comparing Characters and Strings 195 4.12 Comparing Characters and Strings CONCEPT: Relational operators can also be used to compare characters and string objects. Earlier in this chapter you learned to use relational operators to compare numeric values. They can also be used to compare characters and string objects. Comparing Characters As you learned in Chapter 3 , characters are actually stored in memory as integers. On most systems, this integer is the ASCII value of the character. For example, the letter ‘A’ is repre- sented by the number 65, the letter ‘B’ is represented by the number 66, and so on. Table 4-11 shows the ASCII numbers that correspond to some of the commonly used characters. Table 4-11 ASCII Values of Commonly Used Characters Character ASCII Value ‘0’ – ‘9’ 48 – 57 ‘A’ – ‘Z’ 65 – 90 ‘a’ – ‘z’ 97 – 122 blank 32 period 46 Notice that every character, even the blank, has an ASCII code associated with it. Notice also that the ASCII code of a character represent..."
4.13 The Conditional Operator,230,"4.13 The Conditional Operator 199 4.13 The Conditional Operator CONCEPT: You can use the conditional operator to create short expressions that work like if/else statements. The conditional operator is powerful and unique. It provides a shorthand method of expressing a simple if/else statement. The operator consists of the question-mark (?) and the colon (:). Its format is: expression ? expression : expression; Here is an example of a statement using the conditional operator: x < 0 ? y = 10 : z = 20; The statement above is called a conditional expression and consists of three sub-expressions separated by the ? and : symbols. The expressions are x < 0 , y = 10 , and z = 20 , as illustrated here: x < 0 ? y = 10 : z = 20; NOTE: Since it takes three operands, the conditional operator is considered a ternary operator. The conditional expression above performs the same operation as the following if/else statement: if (x < 0) y = 10; else z = 20; The part of the conditional expression that ..."
4.14 The switch Statement,233,"else statement. A) j = k > 90 ? 57 : 12; B) factor = x >= 10 ? y * 22 : y * 35; C) total += count == 1 ? sales : count * sales; D) cout << (((num % 2) == 0) ? ""Even \ n"" : ""Odd\n""); 4.26 What will the following program display? #include <iostream> using namespace std; int main() { const int UPPER = 8, LOWER = 2; int num1, num2, num3 = 12, num4 = 3; num1 = num3 < num4 ? UPPER : LOWER; num2 = num4 > UPPER ? num3 : LOWER; cout << num1 << "" "" << num2 << endl; return 0; } 4.14 The switch Statement CONCEPT: The switch statement lets the value of a variable or expression determine where the program will branch. A branch occurs when one part of a program causes another part to execute. The if/else if statement allows your program to branch into one of several possible paths. It performs a series of tests (usually relational) and branches when one of these tests is true. The switch statement is a similar mechanism. It, however, tests the value of an integer expression and then uses that valu..."
Review Questions and Exercises,245,"Review Questions and Exercises Short Answer 1. Describe the difference between the if/else if statement and a series of if statements. 2. In an if/else if statement, what is the purpose of a trailing else ? 3. What is a flag and how does it work? 4. Can an if statement test expressions other than relational expressions? Explain. 5. Briefly describe how the && operator works. 6. Briefly describe how the || operator works. 7. Why are the relational operators called relational? 8. Why do most programmers indent the conditionally executed statements in a decision structure? Fill-in-the-Blank 9. An expression using the greater-than, less-than, greater-than-or-equal to, less-than-or- equal-to, equal, or not-equal to operator is called a(n) __________ expression. 10. A relational expression is either __________ or __________. 11. The value of a relational expression is 0 if the expression is __________ or 1 if the expression is __________. 12. The if statement regards an expression with th..."
5.1 The Increment and Decrement Operators,258,"The Increment and Decrement Operators CONCEPT: ++ and −− are operators that add and subtract 1 from their operands. To increment a value means to increase it by one, and to decrement a value means to decrease it by one. Both of the following statements increment the variable num : num = num + 1; num += 1; And num is decremented in both of the following statements: num = num − 1; num −= 1; C++ provides a set of simple unary operators designed just for incrementing and decrement- ing variables. The increment operator is ++ , and the decrement operator is −− . The following statement uses the ++ operator to increment num : num++; And the following statement decrements num : num−−; Loops and Files 5 TOPICS 5.1 The Increment and Decrement Operators 5.2 Introduction to Loops: The while Loop 5.3 Using the while Loop for Input Validation 5.4 Counters 5.5 The do-while Loop 5.6 The for Loop 5.7 Keeping a Running Total 5.8 Sentinels 5.9 Focus on Software Engineering: Deciding Which Loop to Use..."
5.2 Introduction to Loops: The while Loop,263,"Introduction to Loops: The while Loop CONCEPT: A loop is part of a program that repeats. Chapter 4 introduced the concept of control structures, which direct the flow of a pro- gram. A loop is a control structure that causes a statement or group of statements to repeat. C++ has three looping control structures: the while loop, the do-while loop, and the for loop. The difference between these structures is how they control the repetition. The while Loop The while loop has two important parts: (1) an expression that is tested for a true or false value, and (2) a statement or block that is repeated as long as the expression is true. Figure 5-1 shows the logic of a while loop. VideoNote The while Loop 5.2 Introduction to Loops: The while Loop 233 Here is the general format of the while loop: while ( expression ) statement; In the general format, expression is any expression that can be evaluated as true or false, and statement is any valid C++ statement. The first line shown in the form..."
5.3 Using the while Loop for Input Validation,270,"5.3 Using the while Loop for Input Validation 239 5.3 Using the while Loop for Input Validation CONCEPT: The while loop can be used to create input routines that repeat until acceptable data is entered. Perhaps the most famous saying of the computer industry is “garbage in, garbage out.” The integrity of a program’s output is only as good as its input, so you should try to make sure garbage does not go into your programs. Input validation is the process of inspecting data given to a program by the user and determining if it is valid. A good program should give clear instructions about the kind of input that is acceptable and not assume the user has followed those instructions. The while loop is especially useful for validating input. If an invalid value is entered, a loop can require that the user reenter it as many times as necessary. For example, the following loop asks for a number in the range of 1 through 100: cout << ""Enter a number in the range 1-100: ""; cin >> number; while ..."
5.4 Counters,272,"5.4 Counters 241 47 48 // Calculate the number of teams. 49 numTeams = players / teamPlayers; 50 51 // Calculate the number of leftover players. 52 leftOver = players % teamPlayers; 53 54 // Display the results. 55 cout << ""There will be "" << numTeams << "" teams with "" 56 << leftOver << "" players left over.\n""; 57 return 0; 58 } Program Output with Example Input Shown in Bold How many players do you wish per team? 4 [Enter] You should have at least 9 but no more than 15 per team. How many players do you wish per team? 12 [Enter] How many players are available? −142 [Enter] Please enter 0 or greater: 142 [Enter] There will be 11 teams with 10 players left over. Checkpoint 5.2 Write an input validation loop that asks the user to enter a number in the range of 10 through 25. 5.3 Write an input validation loop that asks the user to enter ‘Y’, ‘y’, ‘N’, or ‘n’. 5.4 Write an input validation loop that asks the user to enter “Yes” or “No”. 5.4 Counters CONCEPT: A counter is a variable that..."
5.5 The do-while Loop,273,"The do-while Loop CONCEPT: The do-while loop is a posttest loop, which means its expression is tested after each iteration. The do-while loop looks something like an inverted while loop. Here is the do-while loop’s format when the body of the loop contains only a single statement: do statement ; while ( expression ); 5.5 The do-while Loop 243 NOTE: The do-while loop must be terminated with a semicolon. Here is the format of the do-while loop when the body of the loop contains multiple statements: do { statement ; statement ; // Place as many statements here // as necessary. } while ( expression ); The do-while loop is a posttest loop. This means it does not test its expression until it has completed an iteration. As a result, the do-while loop always performs at least one itera- tion, even if the expression is false to begin with. This differs from the behavior of a while loop, which you will recall is a pretest loop. For example, in the following while loop the cout statement will ..."
5.6 The for Loop,278,"5.6 The for Loop 247 B) int v = 10; do cout << v << end1; while (v < 5); C) int count = 0, number = 0, limit = 4; do { number += 2; count++; } while (count < limit); cout << number << "" "" << count << endl; 5.6 The for Loop CONCEPT: The for loop is ideal for performing a known number of iterations. In general, there are two categories of loops: conditional loops and count-controlled loops. A conditional loop executes as long as a particular condition exists. For example, an input validation loop executes as long as the input value is invalid. When you write a conditional loop, you have no way of knowing the number of times it will iterate. Sometimes you know the exact number of iterations that a loop must perform. A loop that repeats a specific number of times is known as a count-controlled loop. For example, if a loop asks the user to enter the sales amounts for each month in the year, it will iterate twelve times. In essence, the loop counts to twelve and asks the user to enter a s..."
5.7 Keeping a Running Total,288,"5.7 Keeping a Running Total 257 Checkpoint 5.6 Name the three expressions that appear inside the parentheses in the for loop’s header. 5.7 You want to write a for loop that displays “I love to program” 50 times. Assume that you will use a counter variable named count . A) What initialization expression will you use? B) What test expression will you use? C) What update expression will you use? D) Write the loop. 5.8 What will the following program segments display? A) for (int count = 0; count < 6; count++) cout << (count + count); B) for (int value = −5; value < 5; value++) cout << value; C) int x; for (x = 5; x <= 14; x += 3) cout << x << endl; cout << x << endl; 5.9 Write a for loop that displays your name 10 times. 5.10 Write a for loop that displays all of the odd numbers, 1 through 49. 5.11 Write a for loop that displays every fifth number, zero through 100. 5.7 Keeping a Running Total CONCEPT: A running total is a sum of numbers that accumulates with each iteration of a loop. ..."
5.8 Sentinels,291,"Sentinels CONCEPT: A sentinel is a special value that marks the end of a list of values. Program 5-12 , in the previous section, requires the user to know in advance the number of days he or she wishes to enter sales figures for. Sometimes the user has a list that is very long and doesn’t know how many items there are. In other cases, the user might be entering several lists, and it is impractical to require that every item in every list be counted. A technique that can be used in these situations is to ask the user to enter a sentinel at the end of the list. A sentinel is a special value that cannot be mistaken as a member of the list and signals that there are no more values to be entered. When the user enters the sentinel, the loop terminates. Program 5-13 calculates the total points earned by a soccer team over a series of games. It allows the user to enter the series of game points, then −1 to signal the end of the list. Program 5-13 1 // This program calculates the total numbe..."
5.9 Focus on Software Engineering: Deciding Which Loop to Use,292,"5.9 Focus on Software Engineering: Deciding Which Loop to Use 261 Program Output with Example Input Shown in Bold Enter the number of points your team has earned so far in the season, then enter −1 when finished. Enter the points for game 1: 7 [Enter] Enter the points for game 2: 9 [Enter] Enter the points for game 3: 4 [Enter] Enter the points for game 4: 6 [Enter] Enter the points for game 5: 8 [Enter] Enter the points for game 6: −1 [Enter] The total points are 34 The value 1 was chosen for the sentinel in this program because it is not possible for a team to score negative points. Notice that this program performs a priming read in line 18 to get the first value. This makes it possible for the loop to immediately terminate if the user enters 1 as the first value. Also note that the sentinel value is not included in the running total. Checkpoint 5.12 Write a for loop that repeats seven times, asking the user to enter a number. The loop should also calculate the sum of the numbe..."
5.10 Nested Loops,293,"5.10 Nested Loops CONCEPT: A loop that is inside another loop is called a nested loop . A nested loop is a loop that appears inside another loop. A clock is a good example of something that works like a nested loop. The second hand, minute hand, and hour hand all spin around the face of the clock. Each time the hour hand increments, the minute hand increments 60 times. Each time the minute hand increments, the second hand increments 60 times. Here is a program segment with a for loop that partially simulates a digital clock. It dis- plays the seconds from 0 to 59: cout << fixed << right; cout.fill('0'); for (int seconds = 0; seconds < 60; seconds++) cout << setw(2) << seconds << endl; NOTE: The fill member function of cout changes the fill character, which is a space by default. In the program segment above, the fill function causes a zero to be printed in front of all single digit numbers. We can add a minutes variable and nest the loop above inside another loop that cycles through..."
5.11 Using Files for Data Storage,296,"5.11 Using Files for Data Storage 265 5.11 Using Files for Data Storage CONCEPT: When a program needs to save data for later use, it writes the data in a file. The data can then be read from the file at a later time. The programs you have written so far require the user to reenter data each time the program runs, because data kept in variables and control properties is stored in RAM and disappears once the program stops running. If a program is to retain data between the times it runs, it must have a way of saving it. Data is saved in a file, which is usually stored on a computer’s disk. Once the data is saved in a file, it will remain there after the program stops running. Data that is stored in a file can be then retrieved and used at a later time. Most of the commercial software that you use on a day-to-day basis store data in files. The following are a few examples. • Word processors: Word processing programs are used to write letters, memos, reports, and other documents. The do..."
5.12 Optional Topics: Breaking and Continuing a Loop,315,"5.12 Optional Topics: Breaking and Continuing a Loop CONCEPT: The break statement causes a loop to terminate early. The continue statement causes a loop to stop its current iteration and begin the next one. WARNING! Use the break and continue statements with great caution. Because they bypass the normal condition that controls the loop’s iterations, these statements make code difficult to understand and debug. For this reason, you should avoid using break and continue whenever possible. However, because they are part of the C++ language, we discuss them briefly in this section. 5.12 Optional Topics: Breaking and Continuing a Loop 285 Sometimes it’s necessary to stop a loop before it goes through all its iterations. The break statement, which was used with switch in Chapter 4 , can also be placed inside a loop. When it is encountered, the loop stops, and the program jumps to the statement immedi- ately following the loop. The while loop in the following program segment appears to exe..."
Review Questions and Exercises,319,"Review Questions and Exercises Short Answer 1. Why should you indent the statements in the body of a loop? 2. Describe the difference between pretest loops and posttest loops. 3. Why are the statements in the body of a loop called conditionally executed statements? 4. What is the difference between the while loop and the do-while loop? 5. Which loop should you use in situations where you wish the loop to repeat until the test expression is false, and the loop should not execute if the test expression is false to begin with? 6. Which loop should you use in situations where you wish the loop to repeat until the test expression is false, but the loop should execute at least one time? 7. Which loop should you use when you know the number of required iterations? 8. Why is it critical that counter variables be properly initialized? 9. Why is it critical that accumulator variables be properly initialized? 10. Why should you be careful not to place a statement in the body of a for loop that..."
CHAPTER 6 Functions,330,"functions. Functions are commonly used to break a problem down into small manageable pieces. Instead of writing one long function that contains all of the statements necessary to solve a problem, several small functions that each solve a specific part of the problem can be written. These small functions can then be executed in the desired order to solve the prob- lem. This approach is sometimes called divide and conquer because a large problem is Functions 6 TOPICS 6.1"
6.1 Focus on Software Engineering: Modular Programming,330,"Focus on Software Engineering: Modular Programming CONCEPT: A program may be broken up into manageable functions. A function is a collection of statements that performs a specific task. So far you have experienced functions in two ways: (1) you have created a function named main in every program you’ve written, and (2) you have used library functions such as pow and strcmp . In this chapter you will learn how to create your own functions that can be used like library functions. Functions are commonly used to break a problem down into small manageable pieces. Instead of writing one long function that contains all of the statements necessary to solve a problem, several small functions that each solve a specific part of the problem can be written. These small functions can then be executed in the desired order to solve the prob- lem. This approach is sometimes called divide and conquer because a large problem is Functions 6 TOPICS 6.1 Focus on Software Engineering: Modular Programming ..."
6.2 Defining and Calling Functions,331,"Defining and Calling Functions CONCEPT: A function call is a statement that causes a function to execute. A function definition contains the statements that make up the function. main function function 2 function 3 function 4 int main() { statement; statement; statement; statement; statement; statement; statement; statement; statement; statement; statement; statement; statement; statement; statement; statement; statement; statement; statement; statement; statement; statement; statement; statement; } int main() { statement; statement; statement; } void function2() { statement; statement; statement; } void function3() { statement; statement; statement; } void function4() { statement; statement; statement; } This program has one long, complex function containing all of the statements necessary to solve a problem. In this program the problem has been divided into smaller problems, each of which is handled by a separate function. Figure 6-1 divided into several smaller problems that are ..."
6.3 Function Prototypes,340,"6.3 Function Prototypes 309 int main() { double salary; int years; cout << ""This program will determine if you qualify\n""; cout << ""for our credit card.\n""; cout << ""What is your annual salary? ""; cin >> salary; cout << ""How many years have you worked at your ""; cout << ""current job? ""; cin >> years; if (salary >= 17000.0 && years >= 2) qualify(); else noQualify(); return 0; } 6.3 Function Prototypes CONCEPT: A function prototype eliminates the need to place a function definition before all calls to the function. Before the compiler encounters a call to a particular function, it must already know the function’s return type, the number of parameters it uses, and the type of each parameter. (You will learn how to use parameters in the next section.) One way of ensuring that the compiler has this information is to place the function defini- tion before all calls to that function. This was the approach taken in Programs 6-1 , 6-2 , 6-3 , and 6-4 . Another method is to declare the functi..."
6.4 Sending Data into a Function,342,"6.4 Sending Data into a Function 311 6.4 Sending Data into a Function CONCEPT: When a function is called, the program may send values into the function. Values that are sent into a function are called arguments . You’re already familiar with how to use arguments in a function call. In the following statement the function pow is being called and two arguments, 2.0 and 4.0, are passed to it: result = pow(2.0, 4.0); By using parameters , you can design your own functions that accept data this way. A parameter is a special variable that holds a value being passed into a function. Here is the definition of a function that uses a parameter: void displayValue(int num) { cout << ""The value is "" << num << endl; } Notice the integer variable definition inside the parentheses (int num) . The variable num is a parameter. This enables the function displayValue to accept an integer value as an argument. Program 6-6 is a complete program using this function. VideoNote Functions and Arguments NOTE:..."
6.5 Passing Data by Value,347,"Passing Data by Value CONCEPT: When an argument is passed into a parameter, only a copy of the argument’s value is passed. Changes to the parameter do not affect the original argument. As you’ve seen in this chapter, parameters are special-purpose variables that are defined inside the parentheses of a function definition. They are separate and distinct from the argu- ments that are listed inside the parentheses of a function call. The values that are stored in the parameter variables are copies of the arguments. Normally, when a parameter’s value is changed inside a function, it has no effect on the original argument. Program 6-9 dem- onstrates this concept. Program 6-9 1 // This program demonstrates that changes to a function parameter 2 // have no effect on the original argument. 3 #include <iostream> 4 using namespace std; 5 6 // Function Prototype 7 void changeMe(int); 8 9 int main() 10 { 11 int number = 12; 12 13 // Display the value in number. 14 cout << ""number is "" << number..."
6.6 Focus on Software Engineering: Using Functions in a Menu-Driven Program,349,"Focus on Software Engineering: Using Functions in a Menu-Driven Program CONCEPT: Functions are ideal for use in menu-driven programs. When the user selects an item from a menu, the program can call the appropriate function. In Chapters 4 and 5 you saw a menu-driven program that calculates the charges for a health club membership. Program 6-10 shows the program redesigned as a modular program. A modular program is broken up into functions that perform specific tasks. Program 6-10 1 // This is a menu-driven program that makes a function call 2 // for each selection the user makes. 3 #include <iostream> 4 #include <iomanip> 5 using namespace std; 6 7 // Function prototypes 8 void showMenu(); 9 void showFees(double, int); 10 11 int main() 12 { 13 int choice; // To hold a menu choice 14 int months; // To hold a number of months 15 16 // Constants for the menu choices 17 const int ADULT_CHOICE = 1, 18 CHILD_CHOICE = 2, 19 SENIOR_CHOICE = 3, 20 QUIT_CHOICE = 4; 21 22 // Constants for membe..."
6.7 The return Statement,353,"The return Statement CONCEPT: The return statement causes a function to end immediately. When the last statement in a void function has finished executing, the function terminates and the program returns to the statement following the function call. It’s possible, however, to force a function to return before the last statement has been executed. When the return statement is encountered, the function immediately terminates and control of the program returns to the statement that called the function. This is demonstrated in Program 6-11 . The function divide shows the quotient of arg1 divided by arg2 . If arg2 is set to zero, the function returns. 6.7 The return Statement 323 Program 6-11 1 // This program uses a function to perform division. If division 2 // by zero is detected, the function returns. 3 #include <iostream> 4 using namespace std; 5 6 // Function prototype. 7 void divide(double, double); 8 9 int main() 10 { 11 double num1, num2; 12 13 cout << ""Enter two numbers and I w..."
6.8 Returning a Value from a Function,355,"Returning a Value from a Function CONCEPT: A function may send a value back to the part of the program that called the function. You’ve seen that data may be passed into a function by way of parameter variables. Data may also be returned from a function, back to the statement that called it. Functions that return a value are appropriately known as value-returning functions . The pow function, which you have already seen, is an example of a value-returning function. Here is an example: double x; x = pow(4.0, 2.0); The second line in this code calls the pow function, passing 4.0 and 2.0 as arguments. The function calculates the value of 4.0 raised to the power of 2.0 and returns that value. The value, which is 16.0, is assigned to the x variable by the = operator. Although several arguments may be passed into a function, only one value may be returned from it. Think of a function as having multiple communication channels for receiving data (parameters), but only one channel for sendin..."
6.9 Returning a Boolean Value,363,"Returning a Boolean Value CONCEPT: Functions may return true or false values. Frequently there is a need for a function that tests an argument and returns a true or false value indicating whether or not a condition exists. Such a function would return a bool value. For example, the following function accepts an int argument and returns true if the argument is within the range of 1 through 100, or false otherwise. bool isValid(int number) { bool status; if (number >= 1 && number <= 100) status = true; else status = false; return status; } 332 Chapter 6 Functions 6.9 Returning a Boolean Value 333 The following code shows an if / else statement that uses a call to the function: int value = 20; if (isValid(value)) cout << ""The value is within range.\n""; else cout << ""The value is out of range.\n""; When this code executes, the message “The value is within range.” will be displayed. Program 6-15 shows another example. This program has a function named isEven which returns true if its argu..."
6.10 Local and Global Variables,365,"6.10 Local and Global Variables CONCEPT: A local variable is defined inside a function and is not accessible outside the function. A global variable is defined outside all functions and is accessible to all functions in its scope. Local Variables Variables defined inside a function are local to that function. They are hidden from the statements in other functions, which normally cannot access them. Program 6-16 shows that because the variables defined in a function are hidden, other functions may have sepa- rate, distinct variables with the same name. Program 6-16 1 // This program shows that variables defined in a function 2 // are hidden from other functions. 3 #include <iostream> 4 using namespace std; 5 6 void anotherFunction(); // Function prototype 6.10 Local and Global Variables 335 7 8 int main() 9 { 10 int num = 1; // Local variable 11 12 cout << ""In main, num is "" << num << endl; 13 anotherFunction(); 14 cout << ""Back in main, num is "" << num << endl; 15 return 0; 16 } 17 ..."
6.11 Static Local Variables,373,"6.11 Static Local Variables If a function is called more than once in a program, the values stored in the function’s local variables do not persist between function calls. This is because the local variables are destroyed when the function terminates and are then re-created when the function starts again. This is shown in Program 6-21 . Program 6-21 1 // This program shows that local variables do not retain 2 // their values between function calls. 3 #include <iostream> 4 using namespace std; 5 6 // Function prototype 7 void showLocal(); 8 9 int main() 10 { 11 showLocal(); 12 showLocal(); 13 return 0; 14 } 15 16 //*********************************************************** 17 // Definition of function showLocal. * 18 // The initial value of localNum, which is 5, is displayed. * 19 // The value of localNum is then changed to 99 before the * 20 // function returns. * 21 //*********************************************************** 22 23 void showLocal() 24 { 25 int localNum = 5; // Lo..."
6.12 Default Arguments,376,"6.12 Default Arguments 345 int var = 100; cout << var << endl; myFunc(); cout << var << endl; return 0; } // Definition of function myFunc void myFunc() { int var = 50; cout << var << endl; } 6.18 What is the output of the following program? #include <iostream> using namespace std; void showVar(); // Function prototype int main() { for (int count = 0; count < 10; count++) showVar(); return 0; } // Definition of function showVar void showVar() { static int var = 10; cout << var << endl; var++; } 6.12 Default Arguments CONCEPT: Default arguments are passed to parameters automatically if no argument is provided in the function call. It’s possible to assign default arguments to function parameters. A default argument is passed to the parameter when the actual argument is left out of the function call. The default arguments are usually listed in the function prototype. Here is an example: void showArea(double = 20.0, double = 10.0); Default arguments are literal values or constants with ..."
6.13 Using Reference Variables as Parameters,379,"6.13 Using Reference Variables as Parameters CONCEPT: When used as parameters, reference variables allow a function to access the parameter’s original argument. Changes to the parameter are also made to the argument. Earlier you saw that arguments are normally passed to a function by value, and that the function cannot change the source of the argument. C++ provides a special type of variable 6.13 Using Reference Variables as Parameters 349 called a reference variable that, when used as a function parameter, allows access to the original argument. A reference variable is an alias for another variable. Any changes made to the reference vari- able are actually performed on the variable for which it is an alias. By using a reference vari- able as a parameter, a function may change a variable that is defined in another function. Reference variables are defined like regular variables, except you place an ampersand (&) in front of the name. For example, the following function definition m..."
6.14 Overloading Functions,385,"6.14 Overloading Functions CONCEPT: Two or more functions may have the same name, as long as their parameter lists are different. Sometimes you will create two or more functions that perform the same operation, but use a different set of parameters or parameters of different data types. For instance, in Program 6-13 there is a square function that uses a double parameter. But, suppose you also wanted a square function that works exclusively with integers, accepting an int as its argument. Both functions would do the same thing: return the square of their argument. The only difference is the data type involved in the operation. If you were to use both these functions in the same program, you could assign a unique name to each function. For example, the function that squares an int might be named squareInt , and the one that squares a double might be named squareDouble . C++, however, allows you to overload function names. That means you may assign the same name to multiple functions,..."
6.15 The exit() Function,389,"6.15 The exit() Function CONCEPT: The exit() function causes a program to terminate, regardless of which function or control mechanism is executing. A C++ program stops executing when the return statement in function main is encoun- tered. When other functions end, however, the program does not stop. Control of the program goes back to the place immediately following the function call. Sometimes, rare circumstances make it necessary to terminate a program in a function other than main . To accomplish this, the exit function is used. When the exit function is called, it causes the program to stop, regardless of which func- tion contains the call. Program 6-29 demonstrates its use. 6.15 The exit() Function 359 Program 6-29 1 // This program shows how the exit function causes a program 2 // to stop executing. 3 #include <iostream> 4 #include <cstdlib> // Needed for the exit function 5 using namespace std; 6 7 void function(); // Function prototype 8 9 int main() 10 { 11 function(); 12 ..."
6.16 Stubs and Drivers,392,"6.16 Stubs and Drivers 361 6.16 Stubs and Drivers Stubs and drivers are very helpful tools for testing and debugging programs that use func- tions. They allow you to test the individual functions in a program, in isolation from the parts of the program that call the functions. A stub is a dummy function that is called instead of the actual function it represents. It usually displays a test message acknowledging that it was called, and nothing more. For example, if a stub were used for the showFees function in Program 6-10 (the modular health club membership program), it might look like this: void showFees(double memberRate, int months) { cout << ""The showFees function was called with "" << ""the following arguments:\n"" << ""memberRate: "" << memberRate << endl << ""months: "" << months << endl; } The following is an example output of the program if it were run with the stub instead of the actual showFees function. (A version of the health club program using this stub func- tion is availab..."
Review Questions and Exercises,394,"Review Questions and Exercises 363 Review Questions and Exercises Short Answer 1. Why do local variables lose their values between calls to the function in which they are defined? 2. What is the difference between an argument and a parameter variable? 3. Where do you define parameter variables? 4. If you are writing a function that accepts an argument and you want to make sure the function cannot change the value of the argument, what do you do? 5. When a function accepts multiple arguments, does it matter in what order the argu- ments are passed? 6. How do you return a value from a function? 7. What is the advantage of breaking your application’s code into several small procedures? 8. How would a static local variable be useful? 9. Give an example where passing an argument by reference would be useful. Fill-in-the-Blank 10. The _________ is the part of a function definition that shows the function name, return type, and parameter list. 11. If a function doesn’t return a value, the ..."
7.1 Arrays Hold Multiple Values,406,Arrays Hold Multiple Values CONCEPT: An array allows you to store and work with multiple values of the same data type. The variables you have worked with so far are designed to hold only one value at a time. Each of the variable definitions in Figure 7-1 causes only enough memory to be reserved to hold one value of the specified data type. Arrays 7 TOPICS 7.1 Arrays Hold Multiple Values 7.2 Accessing Array Elements 7.3 No Bounds Checking in C++ 7.4 Array Initialization 7.5 The Range-Based for Loop 7.6 Processing Array Contents 7.7 Focus on Software Engineering: Using Parallel Arrays 7.8 Arrays as Function Arguments 7.9 Two-Dimensional Arrays 7.10 Arrays with Three or More Dimensions 7.11 Focus on Problem Solving and Program Design: A Case Study 7.12 If You Plan to Continue in Computer Science: Introduction to the STL vector C H A P T E R int count; Enough memory for 1 int 12314 float price; Enough memory for 1 float 56.981 char letter; Enough memory for 1 char A Figure 7-1
